Firm,Platform,Payload,B1 # Sat,B1 Cost (mil €),B2 # Sat,B2 Cost (mil €),Cost per Satellite,Variable cost B1,Fix cost B1,Origin
Argotech,HAWK,HR,10,34,15,29,1.93,19.33,14.67,Their Website
OHB Italia,Eagle 2,HR,12,34,12,29,2.42,29.00,5.00,Their Website
TAS,NIMBUS,VHR,1,30,1,19,19.00,19.00,11.00,Their Website
TAS,NIMBUS,SAR,6,112,4,75,16.83,101.00,11.00,Their Website
D-Orbit,NOX,SAR,1,26,1,24,24.00,24.00,2.00,Their Website
SITAL,Platinum,HYP,4,90,2,40,20.00,80.00,10.00,Their Website
TOTALS,,,34,326,35,216,,272.33,53.67,Slide Iride
AVERAGES,,,,,,,14.03,,8.94,
